,imgt,tenx,adaptive,adaptive_v2
83,TRAV12-2*03,TRAV12-2,TCRAV12-02*03,TCRAV12-02*03
84,TRAV12-3*01,TRAV12-3,TCRAV12-03*01,TCRAV12-03*01
85,TRAV12-3*02,TRAV12-3,TCRAV12-03*02,TCRAV12-03*02
86,TRAV13-1*01,TRAV13-1,TCRAV13-01*01,TCRAV13-01*01
87,TRAV13-1*02,TRAV13-1,TCRAV13-01*02,TCRAV13-01*02
88,TRAV13-1*03,TRAV13-1,TCRAV13-01*03,TCRAV13-01*03
89,TRAV13-2*01,TRAV13-2,TCRAV13-02*01,TCRAV13-02*01
90,TRAV13-2*02,TRAV13-2,TCRAV13-02*02,TCRAV13-02*02
91,TRAV14/DV4*01,TRAV14/DV4,TCRAV14/DV4*01,TCRAV14/DV4*01
92,TRAV14/DV4*02,TRAV14/DV4,TCRAV14/DV4*02,TCRAV14/DV4*02
93,TRAV14/DV4*03,TRAV14/DV4,TCRAV14/DV4*03,TCRAV14/DV4*03
94,TRAV14/DV4*04,TRAV14/DV4,TCRAV14/DV4*04,TCRAV14/DV4*04
95,TRAV16*01,TRAV16,TCRAV16*01,TCRAV16*01
96,TRAV17*01,TRAV17,TCRAV17*01,TCRAV17*01
97,TRAV18*01,TRAV18,TCRAV18*01,TCRAV18*01
98,TRAV19*01,TRAV19,TCRAV19*01,TCRAV19*01
99,TRAV2*01,TRAV2,TCRAV02*01,TCRAV02*01
100,TRAV2*02,TRAV2,TCRAV02*02,TCRAV02*02
101,TRAV20*01,TRAV20,TCRAV20*01,TCRAV20*01
102,TRAV20*02,TRAV20,TCRAV20*02,TCRAV20*02
103,TRAV20*03,TRAV20,TCRAV20*03,TCRAV20*03
104,TRAV20*04,TRAV20,TCRAV20*04,TCRAV20*04
105,TRAV21*01,TRAV21,TCRAV21*01,TCRAV21*01
106,TRAV21*02,TRAV21,TCRAV21*02,TCRAV21*02
107,TRAV22*01,TRAV22,TCRAV22*01,TCRAV22*01
108,TRAV23/DV6*01,TRAV23/DV6,TCRAV23/DV6*01,TCRAV23/DV6*01
109,TRAV23/DV6*02,TRAV23/DV6,TCRAV23/DV6*02,TCRAV23/DV6*02
110,TRAV23/DV6*03,TRAV23/DV6,TCRAV23/DV6*03,TCRAV23/DV6*03
111,TRAV23/DV6*04,TRAV23/DV6,TCRAV23/DV6*04,TCRAV23/DV6*04
112,TRAV23/DV6*05,TRAV23/DV6,TCRAV23/DV6*05,TCRAV23/DV6*05
113,TRAV24*01,TRAV24,TCRAV24*01,TCRAV24*01
114,TRAV24*02,TRAV24,TCRAV24*02,TCRAV24*02
115,TRAV25*01,TRAV25,TCRAV25*01,TCRAV25*01
116,TRAV26-1*01,TRAV26-1,TCRAV26-01*01,TCRAV26-01*01
117,TRAV26-1*02,TRAV26-1,TCRAV26-01*02,TCRAV26-01*02
118,TRAV26-1*03,TRAV26-1,TCRAV26-01*03,TCRAV26-01*03
119,TRAV26-2*01,TRAV26-2,TCRAV26-02*01,TCRAV26-02*01
120,TRAV26-2*02,TRAV26-2,TCRAV26-02*02,TCRAV26-02*02
121,TRAV27*01,TRAV27,TCRAV27*01,TCRAV27*01
122,TRAV27*02,TRAV27,TCRAV27*02,TCRAV27*02
123,TRAV27*03,TRAV27,TCRAV27*03,TCRAV27*03
124,TRAV29/DV5*01,TRAV29/DV5,TCRAV29/DV5*01,TCRAV29/DV5*01
125,TRAV29/DV5*02,TRAV29/DV5,TCRAV29/DV5*02,TCRAV29/DV5*02
126,TRAV29/DV5*04,TRAV29/DV5,TCRAV29/DV5*04,TCRAV29/DV5*04
127,TRAV3*01,TRAV3,TCRAV03*01,TCRAV03*01
128,TRAV30*01,TRAV30,TCRAV30*01,TCRAV30*01
129,TRAV30*02,TRAV30,TCRAV30*02,TCRAV30*02
130,TRAV30*03,TRAV30,TCRAV30*03,TCRAV30*03
131,TRAV30*04,TRAV30,TCRAV30*04,TCRAV30*04
132,TRAV30*05,TRAV30,TCRAV30*05,TCRAV30*05
133,TRAV34*01,TRAV34,TCRAV34*01,TCRAV34*01
134,TRAV35*01,TRAV35,TCRAV35*01,TCRAV35*01
135,TRAV35*02,TRAV35,TCRAV35*02,TCRAV35*02
136,TRAV35*03,TRAV35,TCRAV35*03,TCRAV35*03
137,TRAV36/DV7*01,TRAV36/DV7,TCRAV36/DV7*01,TCRAV36/DV7*01
138,TRAV36/DV7*02,TRAV36/DV7,TCRAV36/DV7*02,TCRAV36/DV7*02
139,TRAV36/DV7*03,TRAV36/DV7,TCRAV36/DV7*03,TCRAV36/DV7*03
140,TRAV36/DV7*04,TRAV36/DV7,TCRAV36/DV7*04,TCRAV36/DV7*04
141,TRAV36/DV7*05,TRAV36/DV7,TCRAV36/DV7*05,TCRAV36/DV7*05
142,TRAV38-1*01,TRAV38-1,TCRAV38-01*01,TCRAV38-01*01
143,TRAV38-1*02,TRAV38-1,TCRAV38-01*02,TCRAV38-01*02
144,TRAV38-1*03,TRAV38-1,TCRAV38-01*03,TCRAV38-01*03
145,TRAV38-1*04,TRAV38-1,TCRAV38-01*04,TCRAV38-01*04
146,TRAV38-2/DV8*01,TRAV38-2/DV8,TCRAV38-02/DV8*01,TCRAV38-02/DV8*01
147,TRAV39*01,TRAV39,TCRAV39*01,TCRAV39*01
148,TRAV4*01,TRAV4,TCRAV04*01,TCRAV04*01
149,TRAV40*01,TRAV40,TCRAV40*01,TCRAV40*01
150,TRAV41*01,TRAV41,TCRAV41*01,TCRAV41*01
151,TRAV5*01,TRAV5,TCRAV05*01,TCRAV05*01
152,TRAV6*01,TRAV6,TCRAV06*01,TCRAV06*01
